"GO_term"	"GO_offspring"	"Gene"
"52"	"GO:0003735"	"GO:0003735"	"MGL_1202"
"53"	"GO:0003735"	"GO:0003735"	"MGL_1287"
"54"	"GO:0003735"	"GO:0003735"	"MGL_1428"
"55"	"GO:0003735"	"GO:0003735"	"MGL_1553"
"56"	"GO:0003735"	"GO:0003735"	"MGL_1554"
"57"	"GO:0003735"	"GO:0003735"	"MGL_1939"
"58"	"GO:0003735"	"GO:0003735"	"MGL_2060"
"59"	"GO:0003735"	"GO:0003735"	"MGL_2282"
"60"	"GO:0003735"	"GO:0003735"	"MGL_2567"
"61"	"GO:0003735"	"GO:0003735"	"MGL_2572"
"62"	"GO:0003735"	"GO:0003735"	"MGL_2608"
"63"	"GO:0003735"	"GO:0003735"	"MGL_3048"
"64"	"GO:0003735"	"GO:0003735"	"MGL_3168"
"65"	"GO:0003735"	"GO:0003735"	"MGL_3169"
"66"	"GO:0003735"	"GO:0003735"	"MGL_3409"
"67"	"GO:0003735"	"GO:0003735"	"MGL_3501"
"68"	"GO:0003735"	"GO:0003735"	"MGL_3575"
"69"	"GO:0003735"	"GO:0003735"	"MGL_4038"
"70"	"GO:0003746"	"GO:0003746"	"MGL_0087"
"71"	"GO:0003746"	"GO:0003746"	"MGL_0122"
"72"	"GO:0003746"	"GO:0003746"	"MGL_3306"
"73"	"GO:0004003"	"GO:0004003"	"MGL_4099"
"74"	"GO:0004003"	"GO:0017116"	"MGL_4099"
"75"	"GO:0004339"	"GO:0004339"	"MGL_2214"
"76"	"GO:0004339"	"GO:0004339"	"MGL_2511"
"77"	"GO:0004448"	"GO:0004448"	"MGL_0302"
"78"	"GO:0004448"	"GO:0004449"	"MGL_0302"
"79"	"GO:0004622"	"GO:0004622"	"MGL_3513"
"80"	"GO:0004812"	"GO:0004812"	"MGL_0502"
"81"	"GO:0004812"	"GO:0004812"	"MGL_1647"
"82"	"GO:0004812"	"GO:0004812"	"MGL_2516"
"83"	"GO:0004812"	"GO:0004812"	"MGL_3288"
"84"	"GO:0004812"	"GO:0004819"	"MGL_1647"
"85"	"GO:0004812"	"GO:0004829"	"MGL_3288"
"86"	"GO:0004812"	"GO:0004832"	"MGL_2516"
"87"	"GO:0004842"	"GO:0004842"	"MGL_0182"
"88"	"GO:0004842"	"GO:0004842"	"MGL_0788"
"89"	"GO:0004842"	"GO:0004842"	"MGL_2525"
"90"	"GO:0005543"	"GO:0005543"	"MGL_0863"
"91"	"GO:0005622"	"GO:0005622"	"MGL_0010"
"92"	"GO:0005622"	"GO:0005622"	"MGL_0072"
"93"	"GO:0005622"	"GO:0005622"	"MGL_0122"
"94"	"GO:0005622"	"GO:0005622"	"MGL_0223"
"95"	"GO:0005622"	"GO:0005622"	"MGL_0266"
"96"	"GO:0005622"	"GO:0005622"	"MGL_0326"
"97"	"GO:0005622"	"GO:0005622"	"MGL_0460"
"98"	"GO:0005622"	"GO:0005622"	"MGL_0676"
"99"	"GO:0005622"	"GO:0005622"	"MGL_0788"
"100"	"GO:0005622"	"GO:0005622"	"MGL_0971"
"101"	"GO:0005622"	"GO:0005622"	"MGL_1033"
"102"	"GO:0005622"	"GO:0005622"	"MGL_1116"
"103"	"GO:0005622"	"GO:0005622"	"MGL_1202"
"104"	"GO:0005622"	"GO:0005622"	"MGL_1287"
"105"	"GO:0005622"	"GO:0005622"	"MGL_1428"
"106"	"GO:0005622"	"GO:0005622"	"MGL_1553"
"107"	"GO:0005622"	"GO:0005622"	"MGL_1554"
"108"	"GO:0005622"	"GO:0005622"	"MGL_1721"
"109"	"GO:0005622"	"GO:0005622"	"MGL_1870"
"110"	"GO:0005622"	"GO:0005622"	"MGL_1939"
"111"	"GO:0005622"	"GO:0005622"	"MGL_2023"
"112"	"GO:0005622"	"GO:0005622"	"MGL_2060"
"113"	"GO:0005622"	"GO:0005622"	"MGL_2235"
"114"	"GO:0005622"	"GO:0005622"	"MGL_2282"
"115"	"GO:0005622"	"GO:0005622"	"MGL_2457"
"116"	"GO:0005622"	"GO:0005622"	"MGL_2525"
"117"	"GO:0005622"	"GO:0005622"	"MGL_2567"
"118"	"GO:0005622"	"GO:0005622"	"MGL_2572"
"119"	"GO:0005622"	"GO:0005622"	"MGL_2608"
"120"	"GO:0005622"	"GO:0005622"	"MGL_2813"
"121"	"GO:0005622"	"GO:0005622"	"MGL_2947"
"122"	"GO:0005622"	"GO:0005622"	"MGL_2987"
"123"	"GO:0005622"	"GO:0005622"	"MGL_3048"
"124"	"GO:0005622"	"GO:0005622"	"MGL_3168"
"125"	"GO:0005622"	"GO:0005622"	"MGL_3169"
"126"	"GO:0005622"	"GO:0005622"	"MGL_3306"
"127"	"GO:0005622"	"GO:0005622"	"MGL_3409"
"128"	"GO:0005622"	"GO:0005622"	"MGL_3411"
"129"	"GO:0005622"	"GO:0005622"	"MGL_3463"
"130"	"GO:0005622"	"GO:0005622"	"MGL_3501"
"131"	"GO:0005622"	"GO:0005622"	"MGL_3575"
"132"	"GO:0005622"	"GO:0005622"	"MGL_4038"
"133"	"GO:0005622"	"GO:0005622"	"MGL_4099"
"134"	"GO:0005622"	"GO:0000015"	"MGL_1349"
"135"	"GO:0005622"	"GO:0000786"	"MGL_2139"
"136"	"GO:0005622"	"GO:0000786"	"MGL_3512"
"137"	"GO:0005622"	"GO:0030529"	"MGL_0429"
"138"	"GO:0005622"	"GO:0030529"	"MGL_2987"
"139"	"GO:0005622"	"GO:0005739"	"MGL_0122"
"140"	"GO:0005622"	"GO:0005739"	"MGL_0302"
"141"	"GO:0005622"	"GO:0005739"	"MGL_0394"
"142"	"GO:0005622"	"GO:0005739"	"MGL_0395"
"143"	"GO:0005622"	"GO:0005739"	"MGL_0473"
"144"	"GO:0005622"	"GO:0005739"	"MGL_0956"
"145"	"GO:0005622"	"GO:0005739"	"MGL_1158"
"146"	"GO:0005622"	"GO:0005739"	"MGL_1485"
"147"	"GO:0005622"	"GO:0005739"	"MGL_2516"
"148"	"GO:0005622"	"GO:0005739"	"MGL_2751"
"149"	"GO:0005622"	"GO:0005739"	"MGL_3154"
"150"	"GO:0005622"	"GO:0005739"	"MGL_3463"
"151"	"GO:0005622"	"GO:0005739"	"MGL_3743"
"152"	"GO:0005622"	"GO:0005829"	"MGL_0788"
"153"	"GO:0005622"	"GO:0005829"	"MGL_1349"
"154"	"GO:0005622"	"GO:0005783"	"MGL_1712"
"155"	"GO:0005622"	"GO:0005783"	"MGL_2410"
"156"	"GO:0005622"	"GO:0005783"	"MGL_2892"
"157"	"GO:0005622"	"GO:0005783"	"MGL_3114"
"158"	"GO:0005622"	"GO:0005783"	"MGL_3928"
"159"	"GO:0005622"	"GO:0005777"	"MGL_3418"
"160"	"GO:0005622"	"GO:0005840"	"MGL_0072"
"161"	"GO:0005622"	"GO:0005840"	"MGL_0087"
"162"	"GO:0005622"	"GO:0005840"	"MGL_0122"
"163"	"GO:0005622"	"GO:0005840"	"MGL_0429"
"164"	"GO:0005622"	"GO:0005840"	"MGL_0597"
"165"	"GO:0005622"	"GO:0005840"	"MGL_0971"
"166"	"GO:0005622"	"GO:0005840"	"MGL_1116"
"167"	"GO:0005622"	"GO:0005840"	"MGL_1202"
"168"	"GO:0005622"	"GO:0005840"	"MGL_1287"
"169"	"GO:0005622"	"GO:0005840"	"MGL_1428"
"170"	"GO:0005622"	"GO:0005840"	"MGL_1553"
"171"	"GO:0005622"	"GO:0005840"	"MGL_1554"
"172"	"GO:0005622"	"GO:0005840"	"MGL_1939"
"173"	"GO:0005622"	"GO:0005840"	"MGL_2060"
"174"	"GO:0005622"	"GO:0005840"	"MGL_2192"
"175"	"GO:0005622"	"GO:0005840"	"MGL_2282"
"176"	"GO:0005622"	"GO:0005840"	"MGL_2567"
"177"	"GO:0005622"	"GO:0005840"	"MGL_2572"
"178"	"GO:0005622"	"GO:0005840"	"MGL_2608"
"179"	"GO:0005622"	"GO:0005840"	"MGL_3048"
"180"	"GO:0005622"	"GO:0005840"	"MGL_3168"
"181"	"GO:0005622"	"GO:0005840"	"MGL_3169"
"182"	"GO:0005622"	"GO:0005840"	"MGL_3306"
"183"	"GO:0005622"	"GO:0005840"	"MGL_3402"
"184"	"GO:0005622"	"GO:0005840"	"MGL_3409"
"185"	"GO:0005622"	"GO:0005840"	"MGL_3414"
"186"	"GO:0005622"	"GO:0005840"	"MGL_3501"
"187"	"GO:0005622"	"GO:0005840"	"MGL_3575"
"188"	"GO:0005622"	"GO:0005840"	"MGL_4038"
"189"	"GO:0005622"	"GO:0005634"	"MGL_0448"
"190"	"GO:0005622"	"GO:0005634"	"MGL_0676"
"191"	"GO:0005622"	"GO:0005634"	"MGL_0788"
"192"	"GO:0005622"	"GO:0005634"	"MGL_1280"
"193"	"GO:0005622"	"GO:0005634"	"MGL_1757"
"194"	"GO:0005622"	"GO:0005634"	"MGL_1870"
"195"	"GO:0005622"	"GO:0005634"	"MGL_1901"
"196"	"GO:0005622"	"GO:0005634"	"MGL_1961"
"197"	"GO:0005622"	"GO:0005634"	"MGL_2020"
